Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total,
31-01-2018,0,Small Volume Specialities,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,0,Small Volume Specialities,Inpatient,Child,16-64,  9-12 Months,1,
31-01-2018,400,Endocrinology,Day Case,Child,0-15,  3-6 Months,1,
31-01-2018,400,Endocrinology,Day Case,Child,0-15, 12-15 Months,1,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,14,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,2,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,1,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,2,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,44,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,12,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,5,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,2,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,1,
31-01-2018,1300,Neurology,Day Case,Child,0-15, 15-18 Months,1,
31-01-2018,1300,Neurology,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,1300,Neurology,Inpatient,Child,0-15,  3-6 Months,1,
31-01-2018,1300,Neurology,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,1400,Neurosurgery,Day Case,Child,0-15,  0-3 Months,1,
31-01-2018,1400,Neurosurgery,Inpatient,Child,0-15,  0-3 Months,2,
31-01-2018,1400,Neurosurgery,Inpatient,Child,0-15,  3-6 Months,1,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,30,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,21,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,5,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,7,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,3,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,2,
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2,
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,2,
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,1,
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,1,
