Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2019,300,Dermatology,Day Case,Child,0-15,  0-3 Months,9
31-01-2019,300,Dermatology,Day Case,Child,0-15,  3-6 Months,10
31-01-2019,300,Dermatology,Day Case,Child,16-64,  3-6 Months,1
31-01-2019,400,Endocrinology,Day Case,Child,0-15,  0-3 Months,6
31-01-2019,400,Endocrinology,Day Case,Child,0-15,  3-6 Months,3
31-01-2019,400,Endocrinology,Day Case,Child,0-15,  6-9 Months,1
31-01-2019,400,Endocrinology,Day Case,Child,16-64,  0-3 Months,1
31-01-2019,400,Endocrinology,Day Case,Child,16-64,  3-6 Months,1
31-01-2019,400,Endocrinology,Inpatient,Child,0-15,  0-3 Months,1
31-01-2019,402,Diabetes Mellitus,Inpatient,Child,0-15,  3-6 Months,1
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,28
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,13
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,6
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,4
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,18+ Months,6
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,16-64,  3-6 Months,2
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,16-64,18+ Months,1
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,73
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,27
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,14
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,9
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15, 12-15 Months,1
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15, 15-18 Months,4
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,18+ Months,13
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,2
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,16-64,18+ Months,2
31-01-2019,601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,7
31-01-2019,601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,4
31-01-2019,601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,1
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,31
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,36
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,10
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,10
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,1
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,2
31-01-2019,601,Paediatric ENT,Inpatient,Child,16-64,18+ Months,1
31-01-2019,1300,Neurology,Day Case,Child,0-15,  0-3 Months,2
31-01-2019,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,1
31-01-2019,1302,Paediatric Neurology,Day Case,Child,0-15,  3-6 Months,1
31-01-2019,1302,Paediatric Neurology,Day Case,Child,0-15,  6-9 Months,1
31-01-2019,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,3
31-01-2019,1302,Paediatric Neurology,Inpatient,Child,0-15,  9-12 Months,1
31-01-2019,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,1
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,90
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,59
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,51
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,44
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,20
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,5
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,1
31-01-2019,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,1
31-01-2019,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,1
31-01-2019,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2
31-01-2019,1700,Ophthalmology,Inpatient,Child,0-15,  6-9 Months,1
31-01-2019,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,2
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  0-3 Months,102
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  3-6 Months,70
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  6-9 Months,39
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  9-12 Months,26
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15, 12-15 Months,19
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15, 15-18 Months,8
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,18+ Months,44
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  0-3 Months,8
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  3-6 Months,2
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  6-9 Months,7
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  9-12 Months,5
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64, 12-15 Months,3
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64, 15-18 Months,2
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,18+ Months,14
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  0-3 Months,138
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  3-6 Months,105
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  6-9 Months,56
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  9-12 Months,40
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15, 12-15 Months,32
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15, 15-18 Months,23
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,18+ Months,47
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  0-3 Months,6
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  3-6 Months,6
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  6-9 Months,2
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  9-12 Months,3
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64, 12-15 Months,4
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64, 15-18 Months,2
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,18+ Months,7
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,84
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  3-6 Months,54
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  6-9 Months,26
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  9-12 Months,55
31-01-2019,1900,Paediatrics,Day Case,Child,0-15, 12-15 Months,34
31-01-2019,1900,Paediatrics,Day Case,Child,0-15, 15-18 Months,31
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,18+ Months,172
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,  0-3 Months,2
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,  3-6 Months,2
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,  9-12 Months,4
31-01-2019,1900,Paediatrics,Day Case,Child,16-64, 15-18 Months,5
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,18+ Months,12
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,7
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,2
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,5
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,18+ Months,4
31-01-2019,1900,Paediatrics,Inpatient,Child,16-64,  9-12 Months,1
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  0-3 Months,123
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  3-6 Months,86
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  6-9 Months,43
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  9-12 Months,26
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15, 12-15 Months,15
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15, 15-18 Months,12
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,18+ Months,13
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,  0-3 Months,2
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,  3-6 Months,8
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,  6-9 Months,4
