Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2021,601,Paediatric ENT,Child,0-15, 6-9 Months,292
31-01-2021,1302,Paediatric Neurology,Child,0-15,15-18 Months,22
31-01-2021,1302,Paediatric Neurology,Child,16-64,18 Months +,16
31-01-2021,1503,Gynaecology,Child,0-15, 0-3 Months,62
31-01-2021,1503,Gynaecology,Child,0-15, 6-9 Months,37
31-01-2021,1503,Gynaecology,Child,0-15, 9-12 Months,31
31-01-2021,1503,Gynaecology,Child,16-64, 3-6 Months,6
31-01-2021,1503,Gynaecology,Child,16-64,12-15 Months,1
31-01-2021,1700,Ophthalmology,Child,0-15,15-18 Months,223
31-01-2021,1700,Ophthalmology,Child,16-64,18 Months +,125
31-01-2021,1802,Paed Orthopaedic,Child,0-15,15-18 Months,377
31-01-2021,1802,Paed Orthopaedic,Child,0-15,18 Months +,1103
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 0-3 Months,17
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 9-12 Months,18
31-01-2021,1900,Paediatrics,Child,0-15,15-18 Months,107
31-01-2021,1900,Paediatrics,Child,16-64, 0-3 Months,15
31-01-2021,1900,Paediatrics,Child,16-64,15-18 Months,4
31-01-2021,1900,Paediatrics,Child,16-64,18 Months +,35
31-01-2021,1902,Paed Cardiology,Child,0-15, 0-3 Months,702
31-01-2021,1902,Paed Cardiology,Child,0-15, 3-6 Months,554
31-01-2021,1902,Paed Cardiology,Child,0-15,12-15 Months,104
31-01-2021,1902,Paed Cardiology,Child,16-64, 0-3 Months,23
31-01-2021,1902,Paed Cardiology,Child,16-64, 6-9 Months,26
31-01-2021,1902,Paed Cardiology,Child,16-64, 9-12 Months,20
31-01-2021,1902,Paed Cardiology,Child,16-64,12-15 Months,9
31-01-2021,1905,Paed Endocrinology,Child,16-64,15-18 Months,10
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64,15-18 Months,6
31-01-2021,1907,Paed Haematology,Child,0-15, 6-9 Months,28
31-01-2021,1910,Paed Metabolic Medicine,Child,16-64,18 Months +,2
31-01-2021,1911,Paed Nephrology,Child,0-15, 6-9 Months,59
31-01-2021,1911,Paed Nephrology,Child,0-15, 9-12 Months,48
31-01-2021,1911,Paed Nephrology,Child,0-15,18 Months +,41
31-01-2021,1911,Paed Nephrology,Child,16-64, 0-3 Months,2
31-01-2021,1911,Paed Nephrology,Child,16-64, 3-6 Months,1
31-01-2021,1911,Paed Nephrology,Child,16-64, 9-12 Months,3
31-01-2021,1911,Paed Nephrology,Child,16-64,12-15 Months,2
31-01-2021,1912,Paediatric Respiratory Medicine,Child,0-15,15-18 Months,170
31-01-2021,1912,Paediatric Respiratory Medicine,Child,16-64,15-18 Months,11
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 0-3 Months,697
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 6-9 Months,325
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,310
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 3-6 Months,14
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 6-9 Months,18
31-01-2021,1915,Paediatric Dermatology,Child,16-64,12-15 Months,21
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,30
31-01-2021,2000,Plastic Surgery,Child,16-64,15-18 Months,10
31-01-2021,2000,Plastic Surgery,Child,16-64,18 Months +,37
31-01-2021,2102,Child/Adolescent Psychiatry,Child,16-64, 0-3 Months,4
31-01-2021,2500,Rheumatology,Child,0-15, 0-3 Months,118
31-01-2021,2500,Rheumatology,Child,0-15, 9-12 Months,74
31-01-2021,2500,Rheumatology,Child,0-15,18 Months +,552
31-01-2021,2500,Rheumatology,Child,16-64, 0-3 Months,4
31-01-2021,601,Paediatric ENT,Child,0-15, 0-3 Months,603
31-01-2021,601,Paediatric ENT,Child,0-15, 3-6 Months,458
31-01-2021,601,Paediatric ENT,Child,0-15,12-15 Months,676
31-01-2021,601,Paediatric ENT,Child,0-15,15-18 Months,560
31-01-2021,601,Paediatric ENT,Child,16-64, 6-9 Months,9
31-01-2021,601,Paediatric ENT,Child,16-64,15-18 Months,26
31-01-2021,1302,Paediatric Neurology,Child,0-15,18 Months +,104
31-01-2021,1302,Paediatric Neurology,Child,16-64, 0-3 Months,7
31-01-2021,1302,Paediatric Neurology,Child,16-64, 3-6 Months,3
31-01-2021,1302,Paediatric Neurology,Child,16-64,15-18 Months,3
31-01-2021,1503,Gynaecology,Child,16-64, 9-12 Months,1
31-01-2021,1700,Ophthalmology,Child,16-64, 9-12 Months,8
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 9-12 Months,427
31-01-2021,1802,Paed Orthopaedic,Child,16-64,18 Months +,185
31-01-2021,1900,Paediatrics,Child,0-15, 0-3 Months,1435
31-01-2021,1900,Paediatrics,Child,0-15,18 Months +,326
31-01-2021,1900,Paediatrics,Child,16-64, 3-6 Months,18
31-01-2021,1900,Paediatrics,Child,16-64, 6-9 Months,7
31-01-2021,1900,Paediatrics,Child,16-64,12-15 Months,8
31-01-2021,1902,Paed Cardiology,Child,0-15, 9-12 Months,286
31-01-2021,1902,Paed Cardiology,Child,0-15,18 Months +,171
31-01-2021,1902,Paed Cardiology,Child,16-64,18 Months +,18
31-01-2021,1902,Paed Cardiology,Child,65+, 0-3 Months,1
31-01-2021,1903,Paed Oncology,Child,0-15, 9-12 Months,2
31-01-2021,1904,Neonatology,Child,0-15, 0-3 Months,9
31-01-2021,1904,Neonatology,Child,0-15, 3-6 Months,4
31-01-2021,1904,Neonatology,Child,0-15,12-15 Months,1
31-01-2021,1905,Paed Endocrinology,Child,0-15, 9-12 Months,58
31-01-2021,1905,Paed Endocrinology,Child,16-64,18 Months +,8
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64,18 Months +,91
31-01-2021,1907,Paed Haematology,Child,16-64, 9-12 Months,4
31-01-2021,1907,Paed Haematology,Child,16-64,18 Months +,1
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 9-12 Months,13
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 0-3 Months,31
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 3-6 Months,24
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 6-9 Months,5
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15,12-15 Months,1
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15,18 Months +,2
31-01-2021,1910,Paed Metabolic Medicine,Child,16-64, 0-3 Months,1
31-01-2021,1911,Paed Nephrology,Child,16-64,18 Months +,7
31-01-2021,1912,Paediatric Respiratory Medicine,Child,0-15, 3-6 Months,138
31-01-2021,1912,Paediatric Respiratory Medicine,Child,0-15,12-15 Months,181
31-01-2021,1912,Paediatric Respiratory Medicine,Child,16-64, 9-12 Months,2
31-01-2021,1915,Paediatric Dermatology,Child,0-15,18 Months +,2049
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 0-3 Months,19
31-01-2021,1915,Paediatric Dermatology,Child,16-64,15-18 Months,26
31-01-2021,1915,Paediatric Dermatology,Child,16-64,18 Months +,377
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 9-12 Months,76
31-01-2021,1916,Developmental Paediatrics,Child,16-64,18 Months +,13
31-01-2021,2000,Plastic Surgery,Child,0-15, 0-3 Months,269
